ru,ust-koksa,4008,50.2696,85.6108
in,angamali,34402,10.2,76.4
na,windhoek,268129,-22.57,17.0836111
es,pilas,11480,37.303373,-6.300969
hu,bacsbokod,3077,46.124996,19.156207
us,opa-locka,14563,25.9019444,-80.2505556
ph,ballesteros,5591,18.4126,121.5152
ru,verkh-tula,5625,54.8839,82.7762
gr,ano korakiana,837,39.7077778,19.7916667
pt,milharado,5935,38.947316,-9.199136
ru,kazachinskoye,2581,56.266667,107.58
de,halle,232452,51.5,12
no,fauske,5974,67.25,15.4
ro,cisnadie,15042,45.716667,24.15
it,san prisco,10730,41.083333,14.266667
gr,nea kallikratia,7078,40.3166667,23.0666667
gb,motherwell,29908,55.783333,-4
ru,rassvet,3454,56.999,91.4724
co,la salina,360,6.1,-72.35
be,hemiksem,9504,51.15,4.35
lv,lubana,1918,56.9,26.7166667
pe,guadalupe,25491,-7.25,-79.4833333
br,terenos,6086,-20.433333,-54.833333
be,hamois,6662,50.333333,5.133333
sl,bumbuna,3010,9.05,-11.7333333
mx,ebano,21258,22.216667,-98.4
ba,hotonj,4013,43.8947222,18.3727778
ru,palekh,5616,56.802562,41.855077
ru,nolinsk,10282,57.559619,49.936294
cz,odry,7415,49.666667,17.833333
ru,kubanskiy,3200,45.929167,40.580556
am,jrashen,3078,40.7875,44.1972222
cr,florencia,888,10.361309,-84.474961
us,chelmsford,33925,42.5997222,-71.3677778
es,mairena del aljarafe,36774,37.34461,-6.063913
jp,isahaya,97372,32.841111,130.043056
ro,zavoi,4205,45.516667,22.416667
ph,taltal,5370,15.5878,119.9455
ru,tsementnyy,5972,57.4693,60.1536
hu,recsk,2992,47.933333,20.116667
gr,longa,983,36.8666667,21.9
no,moi,1705,58.466667,6.533333
in,shahpur,12867,22.15,70.766667
in,manavalakurichi,10720,8.133333,77.3
ph,basiao,2475,11.548611,122.6375
jp,sasaguri,32588,33.616667,130.533333
us,jacksonville,797557,30.3319444,-81.6558333
hn,la estancia,1668,15.2833333,-87.55
ru,lvovskoye,4771,45.007808,38.599928
tw,chushan,59640,23.7563889,120.6827778
gb,new scone,4355,56.416667,-3.4
cn,suicheng,79141,21.414225,110.236498
my,kuala sungai baru,12269,2.3594,102.0353
cm,mora,55488,11.0425,14.1447222
co,macanal,734,4.972141,-73.319588
af,asadabad,48400,34.873113,71.14697
us,astoria,9535,46.1880556,-123.8300000
nl,velsen,68513,52.460671,4.648334
ru,zaokskiy,6480,54.732274,37.405386
id,sampang,53270,-7.1872,113.2394
nl,zaanstad,141800,52.45,4.833333
jp,ashibetsu,19108,43.509722,142.185556
bg,vraca,48995,43.21,23.5625
ua,lozova,62311,48.889369,36.317546
in,kushtagi,24182,15.766667,76.2
fr,bois-colombes,23663,48.919363,2.274845
us,scarborough,27706,43.5780556,-70.3222222
et,bonga,18976,7.266667,36.25
ph,malisbong,4452,6.12,124.354722
us,west haverstraw,10356,41.2094444,-73.9858333
